x,y,z
21.0,0.0,-2.0
21.0,5.2845683756209306e-05,-2.0
21.0,0.00010918185129370871,-2.0
21.0,0.00016923905080795182,-2.0
21.0,0.00023326305831773903,-2.0
21.0,0.00030151588347055347,-2.0
21.0,0.0003742768417818333,-2.0
21.0,0.00045184369769618604,-2.0
21.0,0.0005345338831483621,-2.0
21.0,0.0006226857966107992,-2.0
21.0,0.0007166601879438946,-2.0
21.0,0.000816841634716333,-2.0
21.0,0.0009236401160371112,-2.0
21.0,0.0010374926903399429,-2.0
21.0,0.0011588652839861799,-2.0
21.0,0.0012882545980058293,-2.0
21.0,0.0014261901407797786,-2.0
21.0,0.0015732363949816832,-2.0
21.0,0.0017299951276474683,-2.0
21.0,0.001897107852826052,-2.0
21.0,0.0020752584568893896,-2.0
21.0,0.0022651759972455525,-2.0
21.0,0.002467637685908208,-2.0
21.0,0.002683472070132332,-2.0
21.0,0.0029135624231325353,-2.0
21.0,0.003158850358759992,-2.0
21.0,0.0034203396849305885,-2.0
21.0,0.00369910051157395,-2.0
21.0,0.003996273629914518,-2.0
21.0,0.004313075181006348,-2.0
21.0,0.0046508016326269495,-2.0
21.0,0.0050108350848974605,-2.0
21.0,0.005394648926341649,-2.0
21.0,0.005803813863530498,-2.0
21.0,0.006240004348987758,-2.0
21.0,0.006705005433661881,-2.0
21.0,0.0072007200720072,-2.0
21.0,0.007729176909569293,-2.0
21.0,0.008292538584944288,-2.0
21.0,0.008893110580086709,-2.0
21.0,0.00953335065518459,-2.0
21.0,0.010215878906712736,-2.0
21.0,0.010943488489825534,-2.0
21.0,0.011719157048969062,-2.0
21.0,0.012546058903490821,-2.0
21.0,0.013427578038115192,-2.0
21.0,0.014367321951446148,-2.0
21.0,0.01536913641917053,-2.0
21.0,0.016437121232378296,-2.0
21.0,0.017575646975406613,-2.0
21.0,0.018789372911869003,-2.0
21.0,0.020083266052065493,-2.0
21.0,0.02146262147980499,-2.0
21.0,0.022933084021824035,-2.0
21.0,0.024500671348481884,-2.0
21.0,0.02617179860026772,-2.0
21.0,0.027953304640901098,-2.0
21.0,0.02985248004446273,-2.0
21.0,0.03187709693108925,-2.0
21.0,0.03403544077333052,-2.0
21.0,0.036336344303332546,-2.0
21.0,0.038789223659607124,-2.0
21.0,0.041404116921313086,-2.0
21.0,0.0441917251877467,-2.0
21.0,0.047163456371152386,-2.0
21.0,0.05033147188207068,-2.0
21.0,0.05370873639827669,-2.0
21.0,0.05730907092098174,-2.0
21.0,0.0611472093354237,-2.0
21.0,0.06523885870731219,-2.0
21.0,0.06960076356188478,-2.0
21.0,0.07425077440862603,-2.0
21.0,0.07920792079207921,-2.0
21.0,0.08449248916770015,-2.0
21.0,0.0901261059214501,-2.0
21.0,0.0961318258728743,-2.0
21.0,0.1025342266238531,-2.0
21.0,0.10935950913913457,-2.0
21.0,0.11663560497026254,-2.0
21.0,0.1243922905616977,-2.0
21.0,0.13266130910691543,-2.0
21.0,0.14147650045315915,-2.0
21.0,0.15087393958646866,-2.0
21.0,0.16089208426371251,-2.0
21.0,0.17157193239579016,-2.0
21.0,0.1829571898260735,-2.0
21.0,0.1950944491906972,-2.0
21.0,0.20803338059266213,-2.0
21.0,0.22182693487005684,-2.0
21.0,0.2365315602902473,-2.0
21.0,0.252207433556826,-2.0
21.0,0.2689187060746844,-2.0
21.0,0.2867337664810181,-2.0
21.0,0.30572552051663443,-2.0
21.0,0.3259716893829,-2.0
21.0,0.3475551278053124,-2.0
21.0,0.3705641631053327,-2.0
21.0,0.39509295666807803,-2.0
21.0,0.4212418892851376,-2.0
21.0,0.44911797194947417,-2.0
21.0,0.478835283783531,-2.0
21.0,0.510515438892714,-2.0
21.0,0.544288084054774,-2.0
21.0,0.5802914292818252,-2.0
21.0,0.6186728134262441,-2.0
21.0,0.659589307145129,-2.0
21.0,0.7032083556908543,-2.0
21.0,0.7497084641582666,-2.0
21.0,0.7992799279927993,-2.0
21.0,0.8521256117490086,-2.0
21.0,0.908461779286508,-2.0
21.0,0.9685189788007502,-2.0
21.0,1.0325429863105373,-2.0
21.0,1.1007958114633531,-2.0
21.0,1.1735567697746327,-2.0
21.0,1.2511236256889844,-2.0
21.0,1.3338138111411602,-2.0
21.0,1.4219657246035988,-2.0
21.0,1.515940115936694,-2.0
21.0,1.6161215627091323,-2.0
21.0,1.7229200440299088,-2.0
21.0,1.8367726183327406,-2.0
21.0,1.9581452119789793,-2.0
21.0,2.0875345259986284,-2.0
21.0,2.2254700687725757,-2.0
21.0,2.37251632297448,-2.0
21.0,2.5292750556402677,-2.0
21.0,2.696387780818851,-2.0
21.0,2.874538384882189,-2.0
21.0,3.064455925238352,-2.0
21.0,3.266917613901004,-2.0
21.0,3.4827519981251314,-2.0
21.0,3.712842351125335,-2.0
21.0,3.9581302867527874,-2.0
21.0,4.219619612923384,-2.0
21.0,4.498380439566749,-2.0
21.0,4.7955535579073185,-2.0
21.0,5.1123551089991475,-2.0
21.0,5.450081560619749,-2.0
21.0,5.810115012890254,-2.0
21.0,6.193928854334449,-2.0
21.0,6.603093791523298,-2.0
21.0,7.03928427698055,-2.0
21.0,7.504285361654674,-2.0
21.0,8.0,-2.0
