x,y,z
-20.0,0.0,0.0
-20.0,0.25,0.0
-20.0,0.5,0.0
-20.0,0.75,0.0
-20.0,1.0,0.0
-20.0,1.25,0.0
-20.0,1.5,0.0
-20.0,1.75,0.0
-20.0,2.0,0.0
-20.0,2.25,0.0
-20.0,2.5,0.0
-20.0,2.75,0.0
-20.0,3.0,0.0
-20.0,3.25,0.0
-20.0,3.5,0.0
-20.0,3.75,0.0
-20.0,4.0,0.0
-20.0,4.25,0.0
-20.0,4.5,0.0
-20.0,4.75,0.0
-20.0,5.0,0.0
-19.2,0.0,0.0
-19.2,0.25,0.0
-19.2,0.5,0.0
-19.2,0.75,0.0
-19.2,1.0,0.0
-19.2,1.25,0.0
-19.2,1.5,0.0
-19.2,1.75,0.0
-19.2,2.0,0.0
-19.2,2.25,0.0
-19.2,2.5,0.0
-19.2,2.75,0.0
-19.2,3.0,0.0
-19.2,3.25,0.0
-19.2,3.5,0.0
-19.2,3.75,0.0
-19.2,4.0,0.0
-19.2,4.25,0.0
-19.2,4.5,0.0
-19.2,4.75,0.0
-19.2,5.0,0.0
-18.4,0.0,0.0
-18.4,0.25,0.0
-18.4,0.5,0.0
-18.4,0.75,0.0
-18.4,1.0,0.0
-18.4,1.25,0.0
-18.4,1.5,0.0
-18.4,1.75,0.0
-18.4,2.0,0.0
-18.4,2.25,0.0
-18.4,2.5,0.0
-18.4,2.75,0.0
-18.4,3.0,0.0
-18.4,3.25,0.0
-18.4,3.5,0.0
-18.4,3.75,0.0
-18.4,4.0,0.0
-18.4,4.25,0.0
-18.4,4.5,0.0
-18.4,4.75,0.0
-18.4,5.0,0.0
-17.6,0.0,0.0
-17.6,0.25,0.0
-17.6,0.5,0.0
-17.6,0.75,0.0
-17.6,1.0,0.0
-17.6,1.25,0.0
-17.6,1.5,0.0
-17.6,1.75,0.0
-17.6,2.0,0.0
-17.6,2.25,0.0
-17.6,2.5,0.0
-17.6,2.75,0.0
-17.6,3.0,0.0
-17.6,3.25,0.0
-17.6,3.5,0.0
-17.6,3.75,0.0
-17.6,4.0,0.0
-17.6,4.25,0.0
-17.6,4.5,0.0
-17.6,4.75,0.0
-17.6,5.0,0.0
-16.8,0.0,0.0
-16.8,0.25,0.0
-16.8,0.5,0.0
-16.8,0.75,0.0
-16.8,1.0,0.0
-16.8,1.25,0.0
-16.8,1.5,0.0
-16.8,1.75,0.0
-16.8,2.0,0.0
-16.8,2.25,0.0
-16.8,2.5,0.0
-16.8,2.75,0.0
-16.8,3.0,0.0
-16.8,3.25,0.0
-16.8,3.5,0.0
-16.8,3.75,0.0
-16.8,4.0,0.0
-16.8,4.25,0.0
-16.8,4.5,0.0
-16.8,4.75,0.0
-16.8,5.0,0.0
-16.0,0.0,0.0
-16.0,0.25,0.0
-16.0,0.5,0.0
-16.0,0.75,0.0
-16.0,1.0,0.0
-16.0,1.25,0.0
-16.0,1.5,0.0
-16.0,1.75,0.0
-16.0,2.0,0.0
-16.0,2.25,0.0
-16.0,2.5,0.0
-16.0,2.75,0.0
-16.0,3.0,0.0
-16.0,3.25,0.0
-16.0,3.5,0.0
-16.0,3.75,0.0
-16.0,4.0,0.0
-16.0,4.25,0.0
-16.0,4.5,0.0
-16.0,4.75,0.0
-16.0,5.0,0.0
