x,y,z
20.0,0.0,0.0
20.0,1.0,0.0
20.0,3.0,0.0
20.0,6.0,0.0
20.0,10.0,0.0
24.0,0.0,0.0
24.0,1.0,0.0
24.0,3.0,0.0
24.0,6.0,0.0
24.0,10.0,0.0
32.0,0.0,0.0
32.0,1.0,0.0
32.0,3.0,0.0
32.0,6.0,0.0
32.0,10.0,0.0
44.0,0.0,0.0
44.0,1.0,0.0
44.0,3.0,0.0
44.0,6.0,0.0
44.0,10.0,0.0
60.0,0.0,0.0
60.0,1.0,0.0
60.0,3.0,0.0
60.0,6.0,0.0
60.0,10.0,0.0
80.0,0.0,0.0
80.0,1.0,0.0
80.0,3.0,0.0
80.0,6.0,0.0
80.0,10.0,0.0
104.0,0.0,0.0
104.0,1.0,0.0
104.0,3.0,0.0
104.0,6.0,0.0
104.0,10.0,0.0
132.0,0.0,0.0
132.0,1.0,0.0
132.0,3.0,0.0
132.0,6.0,0.0
132.0,10.0,0.0
164.0,0.0,0.0
164.0,1.0,0.0
164.0,3.0,0.0
164.0,6.0,0.0
164.0,10.0,0.0
200.0,0.0,0.0
200.0,1.0,0.0
200.0,3.0,0.0
200.0,6.0,0.0
200.0,10.0,0.0
